family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Gemma,gemma4_e4b,gemma4_31b,idea,control_amount,500,0.016997661304192804,0.0047967266110432215,0.029214150993045827
Gemma,gemma4_e4b,gemma4_31b,idea,dialectical_centroid,500,-0.046384384906888,-0.05341536244358819,-0.03926434848805609
Gemma,gemma4_e4b,gemma4_31b,idea,control_centroid,500,-0.017476298630842876,-0.028113469509894164,-0.007111912684498295
Gemma,gemma4_e4b,gemma4_31b,idea,coupling_excess,500,0.003016782725103716,-0.003175451331871716,0.009803651378173408
Gemma,gemma4_e4b,gemma4_31b,safety,dialectical_amount,57,0.023319708726037374,-0.029578956760364067,0.08336223668265692
Gemma,gemma4_e4b,gemma4_31b,safety,control_amount,57,-0.3045209911867426,-0.3517370707106436,-0.26054117711608243
Gemma,gemma4_e4b,gemma4_31b,safety,dialectical_centroid,47,-0.24530192423144784,-0.3101220470399984,-0.18069129418763788
Gemma,gemma4_e4b,gemma4_31b,safety,control_centroid,26,0.27621909046775805,0.21550150062940918,0.3451376009976833
Gemma,gemma4_e4b,gemma4_31b,safety,coupling_excess,57,-0.029263468987221097,-0.05380091448867516,-0.006823174779466019
Gemma,gemma4_e4b,gemma4_31b,security,dialectical_amount,496,0.08888887578460039,0.07755681034489159,0.10000316206009532
Gemma,gemma4_e4b,gemma4_31b,security,control_amount,496,-0.021452137522539792,-0.03293294082935128,-0.011905660859884775
Gemma,gemma4_e4b,gemma4_31b,security,dialectical_centroid,486,-0.04887323981381837,-0.06011399243758926,-0.03661090643701881
Gemma,gemma4_e4b,gemma4_31b,security,control_centroid,483,0.08021740446454369,0.06669971229824945,0.09597758637782977
Gemma,gemma4_e4b,gemma4_31b,security,coupling_excess,496,-0.001231954265375816,-0.006656040088873431,0.0041430534415692055
Gemma,gemma4_e4b,gemma4_31b,overall,dialectical_amount,3212,0.11602536562753829,0.10923757226753376,0.1218549623244001
Gemma,gemma4_e4b,gemma4_31b,overall,control_amount,3212,-0.05984928958888022,-0.06689004599111616,-0.05330504292079571
Gemma,gemma4_e4b,gemma4_31b,overall,dialectical_centroid,2997,-0.031414536069653394,-0.03717370395920227,-0.025394304127659313
Gemma,gemma4_e4b,gemma4_31b,overall,control_centroid,3144,0.07354186935770111,0.06816715193920213,0.07886312153373173
Gemma,gemma4_e4b,gemma4_31b,overall,coupling_excess,3212,0.0022427948338733473,-4.9408845013755324e-05,0.004954880776792185
